242,武藤,"90,100"
243,西,"90,000"
244,白井,"89,800"
245,竹田,"89,600"
246,宮下,"89,400"
247,塚本,"89,100"
248,榎本,"88,900"
249,坂田,"88,700"
250,神谷,"88,500"
251,児玉,"88,500"
252,水谷,"88,300"
253,坂井,"88,100"
254,齋藤,"86,600"
255,小原,"86,000"
256,浅井,"85,800"
257,岡部,"85,600"
258,小笠原,"85,400"
259,森下,"85,400"
260,神田,"85,200"
261,中井,"85,000"
262,植田,"85,000"
263,河村,"84,200"
264,宮川,"83,800"
265,稲垣,"83,700"
266,前川,"83,500"
267,大川,"83,000"
268,松崎,"81,600"
269,長田,"81,600"
270,若林,"81,400"
271,飯島,"81,200"
272,谷,"80,400"
273,大沢,"79,900"
274,石塚,"79,800"
275,安部,"79,500"
276,堀内,"78,800"
277,及川,"78,600"
278,田代,"78,200"
279,中嶋,"77,900"
280,江口,"77,700"
281,山根,"77,400"
282,中谷,"77,200"
283,岸本,"76,700"
284,荒川,"76,500"
285,本多,"76,400"
286,西尾,"76,200"
287,森山,"75,800"
288,岡野,"75,500"
289,細川,"75,300"
290,金井,"75,300"
291,今野,"75,200"
292,戸田,"74,600"
293,稲葉,"74,600"
294,安達,"74,500"
295,津田,"74,400"
296,森川,"74,200"
297,落合,"74,000"
298,土井,"73,900"
299,村松,"73,800"
300,星,"73,600"
301,町田,"73,100"
302,畠山,"72,800"
303,三上,"72,800"
304,岩井,"71,900"
305,長尾,"71,700"
306,中原,"71,400"
307,堤,"71,400"
308,野崎,"70,100"
309,中沢,"69,400"
310,金田,"69,400"
311,米田,"69,100"
312,松山,"68,900"
313,堀田,"68,600"
314,杉田,"68,600"
315,三好,"68,200"
316,西野,"68,100"
317,山岸,"67,800"
318,佐伯,"67,700"
319,黒川,"66,600"
320,西岡,"66,600"
321,泉,"65,800"
322,大竹,"65,700"
323,甲斐,"65,500"
324,笠原,"64,900"
325,大木,"64,700"
326,堀江,"64,600"
327,岸,"64,400"
328,徳永,"64,400"
