5.30/佐藤,
5.09/鈴木,
4.01/高橋,
3.79/田中,
3.05/伊藤,
3.01/渡辺,
2.97/山本,
2.97/中村,
2.90/小林,
2.52/加藤,
2.35/吉田,
2.31/山田,
1.91/佐々木,
1.82/山口,
1.78/松本,
1.74/井上,
1.63/木村,
1.55/林,
1.55/斎藤,
1.50/清水,
1.36/山崎,
1.31/森,
1.27/池田,
1.27/橋本,
1.25/阿部,
1.21/石川,
1.19/山下,
1.14/中島,
1.12/石井,
1.12/小川,
1.08/前田,
1.08/岡田,
1.06/長谷川,
1.06/藤田,
1.06/後藤,
1.04/近藤,
1.00/村上,
0.93/遠藤,
0.93/青木,
0.93/坂本,
0.91/斉藤,
0.89/福田,
0.87/太田,
0.87/西村,
0.87/藤井,
0.85/金子,
0.85/岡本,
0.83/藤原,
0.83/三浦,
0.83/中野,
0.83/中川,
0.83/原田,
0.83/松田,
0.81/竹内,
0.78/小野,
0.78/田村,
0.76/中山,
0.76/和田,
0.74/石田,
0.74/森田,
0.70/上田,
0.70/原,
0.70/内田,
0.68/柴田,
0.68/酒井,
0.68/宮崎,
0.68/横山,
0.66/高木,
0.66/安藤,
0.64/宮本,
0.64/大野
